"","out01_0","out02_0","out03_0","out04_0","out05_0","out06_0","out07_0","out08_0","out09_0"
"MIR572",0,0,0,0,0,0,0,0,0
"MIR573",0,0,0,0,0,0,0,0,0
"MIR574",0,0,0,0,0,0,0,0,0
"MIR575",0,0,0,0,0,0,0,0,0
"MIR577",0,0,0,0,0,0,0,0,0
"MIR578",0,0,0,0,0,0,0,0,0
"MIR580",0,0,0,0,0,0,0,0,0
"MIR581",0,0,0,0,0,0,0,0,0
"MIR583",0,0,0,0,0,0,0,0,0
"MIR585",0,0,0,0,0,0,0,0,0
"MIR586",0,0,0,0,0,0,0,0,0
"MIR589",0,0,0,0,0,0,0,0,0
"MIR590",0,0,0,0,0,0,0,0,0
"MIR591",0,0,0,0,0,0,0,0,0
"MIR592",0,0,0,0,0,0,0,0,0
"MIR593",0,0,0,0,0,0,0,0,0
"MIR595",0,0,0,0,0,0,0,0,0
"MIR596",0,0,0,0,0,0,0,0,0
"MIR597",0,0,0,0,0,0,0,0,0
"MIR598",0,0,0,0,0,0,0,0,0
"MIR599",0,0,0,0,0,0,0,0,0
"MIR600",0,0,0,0,0,0,0,0,0
"MIR600HG",0,0,0,0,0,0,0,0,0
"MIR601",0,0,0,0,0,0,0,0,0
"MIR602",0,0,0,0,0,0,0,0,0
"MIR603",0,0,0,0,0,0,0,0,0
"MIR604",0,0,0,0,0,0,0,0,0
"MIR605",0,0,0,0,0,0,0,0,0
"MIR608",0,0,0,0,0,0,0,0,0
"MIR609",0,0,0,0,0,0,0,0,0
"MIR610",0,0,0,0,0,0,0,0,0
"MIR611",0,0,0,0,0,0,0,0,0
"MIR612",0,0,0,0,0,0,0,0,0
"MIR613",0,0,0,0,0,0,0,0,0
"MIR614",0,0,1253,0,0,0,0,0,0
"MIR615",0,0,0,0,0,0,0,0,0
"MIR617",0,0,0,0,0,0,0,0,0
"MIR618",0,0,0,0,0,0,0,0,0
"MIR620",0,0,0,0,0,0,0,0,0
"MIR621",0,0,0,0,0,0,0,0,0
"MIR622",0,0,0,0,0,0,0,0,0
"MIR623",0,0,0,0,0,0,0,0,0
"MIR624",0,0,0,0,0,751,0,0,0
"MIR626",0,0,0,0,0,0,0,0,0
"MIR627",0,0,0,0,0,0,0,0,0
"MIR628",0,0,0,0,0,0,0,0,0
"MIR629",0,0,0,0,0,0,0,0,0
"MIR630",0,0,0,0,0,0,0,0,0
"MIR631",0,0,0,0,0,0,0,0,0
"MIR632",0,0,0,0,0,0,0,0,0
"MIR634",0,0,0,0,0,0,0,0,0
"MIR635",0,0,0,0,0,0,0,0,0
"MIR636",0,0,0,0,0,0,0,0,0
"MIR637",0,0,0,0,0,0,0,0,0
"MIR638",0,0,0,0,0,0,0,0,0
"MIR639",0,0,0,0,0,0,0,0,0
"MIR641",0,0,0,0,0,0,0,0,0
"MIR642A",0,0,0,0,0,0,0,0,0
"MIR642B",0,0,0,0,0,0,0,0,0
"MIR643",0,0,0,0,0,0,0,0,0
"MIR644A",0,0,0,0,0,0,0,0,0
"MIR644B",0,0,0,0,0,0,0,0,0
"MIR645",0,0,0,0,0,0,0,0,0
"MIR647",0,0,0,0,0,0,0,0,0
"MIR648",0,0,0,0,0,0,0,0,0
"MIR650",0,0,0,0,0,0,0,0,0
"MIR651",0,0,0,0,0,0,0,0,0
"MIR653",0,0,0,0,0,0,0,0,0
"MIR654",0,0,0,0,0,0,0,0,0
"MIR655",0,0,0,0,0,0,0,0,0
"MIR656",0,0,0,0,0,0,0,0,0
"MIR657",0,0,0,0,0,0,0,0,0
"MIR658",0,0,0,0,0,0,0,0,0
"MIR659",0,0,0,0,0,0,0,0,0
"MIR660",0,0,0,0,0,0,0,0,0
"MIR661",0,0,0,0,0,0,0,0,0
"MIR662",0,0,0,0,0,0,0,0,0
"MIR663A",0,0,0,0,0,0,0,0,0
"MIR663B",0,0,0,0,0,0,0,0,0
"MIR664",0,0,0,0,0,0,0,0,0
"MIR665",0,0,0,0,0,0,0,0,0
"MIR668",0,0,0,0,0,0,0,0,0
"MIR670",0,0,0,0,0,0,0,0,0
"MIR671",0,0,0,0,0,0,0,0,0
"MIR675",0,0,0,0,0,0,0,0,0
"MIR676",0,0,0,0,0,0,0,0,0
"MIR7-1",0,0,0,0,0,0,0,0,0
"MIR7-2",0,0,0,0,0,0,0,0,0
"MIR7-3",0,0,0,0,0,0,0,0,0
"MIR7-3HG",0,0,0,0,0,0,0,0,0
"MIR708",0,0,0,0,0,0,0,0,0
"MIR711",0,0,0,0,0,0,0,0,0
"MIR718",0,0,0,0,0,0,0,0,0
"MIR744",0,0,0,0,0,0,0,0,0
"MIR758",0,0,0,0,0,0,0,0,0
"MIR759",0,0,0,0,0,0,0,0,0
"MIR760",0,0,0,0,0,0,0,0,0
"MIR761",0,0,0,0,0,0,0,0,0
"MIR762",0,0,0,0,0,0,0,0,0
"MIR764",0,0,0,0,0,0,0,0,0
"MIR765",0,0,0,0,0,0,0,0,0
"MIR766",0,0,0,0,0,0,0,0,0
"MIR767",0,0,0,0,0,0,0,0,0
"MIR769",0,0,0,0,0,0,0,0,0
"MIR770",0,0,0,0,0,0,0,0,0
"MIR802",0,0,0,0,0,0,0,0,0
"MIR873",0,0,0,0,0,0,0,0,0
"MIR874",0,0,0,0,0,0,0,0,0
"MIR875",0,0,0,0,0,0,0,0,0
"MIR876",0,0,0,0,0,0,0,0,0
"MIR877",0,0,0,0,0,0,0,0,0
"MIR885",0,0,0,0,0,0,0,0,0
"MIR888",0,0,0,0,0,0,0,0,0
"MIR889",0,0,0,0,0,0,0,0,0
"MIR890",0,0,0,0,0,0,0,0,0
"MIR891A",0,0,0,0,0,0,0,0,0
"MIR891B",0,0,0,0,0,0,0,0,0
"MIR892A",0,0,0,0,0,0,0,0,0
"MIR892B",0,0,0,0,0,0,0,0,0
"MIR9-1",0,0,0,0,0,0,0,0,0
"MIR9-2",0,0,0,0,0,0,0,0,0
"MIR9-3",0,0,0,0,0,0,0,0,0
"MIR920",0,0,0,0,0,0,0,0,0
"MIR921",0,0,0,0,0,0,0,0,0
"MIR922",0,0,0,0,0,0,0,0,0
"MIR92A1",0,0,0,0,0,0,0,0,0
"MIR92A2",0,0,0,0,0,0,0,0,0
"MIR92B",0,0,0,0,0,0,0,0,0
"MIR93",0,0,0,0,0,0,0,0,0
"MIR933",0,0,0,0,0,0,0,0,0
"MIR934",0,0,0,0,0,0,0,0,0
"MIR935",0,0,0,0,0,0,0,0,0
"MIR936",0,0,0,0,0,0,0,0,0
"MIR937",0,0,0,0,0,0,0,0,0
"MIR938",0,0,0,0,0,0,0,0,0
"MIR939",0,0,0,0,0,0,0,0,0
"MIR940",0,0,0,859,0,0,0,0,0
"MIR941-1",0,0,0,0,0,0,0,0,0
"MIR941-2",0,0,0,0,0,0,0,0,0
"MIR941-3",0,0,0,0,0,0,0,0,0
"MIR941-4",0,0,0,0,0,0,0,0,0
"MIR942",0,0,0,0,0,0,0,0,0
"MIR943",0,0,0,0,0,0,0,0,0
"MIR944",0,0,0,0,0,0,0,0,0
"MIR96",0,0,0,0,0,0,0,0,0
"MIR98",0,0,0,0,0,0,0,0,0
"MIR99A",0,0,0,0,0,0,0,0,0
"MIR99B",0,0,0,0,0,0,0,0,0
"MIRLET7A1",0,0,0,0,0,0,0,0,0
"MIRLET7A2",0,0,0,0,0,0,0,0,0
"MIRLET7A3",0,0,0,0,0,0,0,0,0
"MIRLET7B",0,0,0,0,0,0,0,0,0
"MIRLET7BHG",3,4,3,2,2,2,3,2,1
"MIRLET7C",0,0,0,0,0,0,0,0,0
"MIRLET7D",0,0,0,0,0,0,0,0,0
"MIRLET7DHG",12,11,9,14,10,10,11,8,11
"MIRLET7E",0,0,0,0,0,0,0,0,0
"MIRLET7F1",0,0,0,0,0,0,0,0,0
"MIRLET7F2",0,0,0,0,0,0,0,0,0
"MIRLET7G",0,0,0,0,0,0,0,0,0
"MIRLET7I",0,0,0,0,0,0,0,0,0
"MIS12",23,22,25,29,26,29,30,30,33
"MIS18A",9,10,14,17,20,27,29,26,32
"MIS18BP1",4,7,10,12,13,17,20,19,22
"MITD1",68,66,66,63,57,67,69,60,70
"MITF",2,2,3,4,3,6,5,4,5
"MIXL1",0,0,0,0,0,0,0,0,0
"MKI67",9,17,26,33,35,47,53,54,65
"MKI67IP",90,91,81,88,75,81,82,72,75
"MKKS",35,37,37,35,30,32,35,32,37
"MKL1",4,3,4,3,3,4,4,3,3
"MKL2",4,4,4,5,4,4,4,4,4
"MKLN1",8,8,7,7,7,8,8,7,7
"MKNK1",10,10,11,12,9,13,14,13,13
"MKNK1-AS1",0,0,0,0,0,0,0,0,0
"MKNK2",1,2,2,2,2,2,2,2,2
"MKRN1",22,20,18,16,15,13,14,11,9
"MKRN2",32,32,31,28,25,29,27,26,28
"MKRN3",6,6,5,4,3,2,2,1,1
"MKRN7P",0,0,0,0,0,0,0,0,0
"MKRN9P",0,0,0,0,0,0,0,0,0
"MKS1",4,6,8,7,8,10,10,12,14
"MKX",0,0,0,0,0,0,0,0,0
"MLANA",0,0,0,0,0,0,0,0,0
"MLC1",0,0,0,0,0,0,0,0,0
"MLEC",25,25,24,23,20,23,24,21,23
"MLF1",8,7,9,9,9,11,10,11,13
"MLF1IP",27,33,38,44,42,54,57,57,65
"MLF2",93,93,90,91,76,84,81,73,76
"MLH1",53,56,63,68,63,77,82,81,95
"MLH3",12,12,11,11,10,11,10,10,9
"MLIP",3,3,3,2,2,2,2,2,3
"MLIP-IT1",0,0,0,0,0,0,0,0,0
"MLK7-AS1",0,0,0,0,0,0,1,0,1
"MLKL",0,2,1,3,3,4,5,4,6
"MLL",10,10,10,10,9,10,10,9,10
"MLL2",2,1,1,1,1,1,1,1,0
"MLL3",21,20,19,19,16,17,15,13,13
"MLL4",1,1,1,1,1,1,1,1,1
"MLL5",21,22,20,21,18,21,20,19,20
"MLLT1",2,2,3,2,2,3,3,3,3
"MLLT10",10,10,10,9,8,11,9,9,11
"MLLT10P1",2,3,3,2,2,5,5,2,4
"MLLT11",711,627,539,462,341,312,255,173,124
"MLLT3",25,24,25,26,22,25,28,25,27
"MLLT4",3,3,3,3,3,3,3,3,3
"MLLT4-AS1",0,0,0,0,0,0,0,0,0
"MLLT6",2,2,2,2,2,2,2,1,1
"MLN",0,0,0,0,0,0,0,0,0
"MLNR",0,0,0,0,0,0,0,0,0
"MLPH",6,8,10,14,14,17,19,20,23
"MLST8",16,15,13,16,13,12,13,10,12
"MLX",58,53,54,53,46,49,46,40,41
"MLXIP",11,10,11,10,8,9,9,8,8
"MLXIPL",0,0,0,0,0,0,0,0,0
"MLYCD",1,1,1,1,2,1,2,1,1
"MMAA",0,1,1,1,0,1,1,0,1
"MMAB",13,12,12,10,8,10,11,9,9
"MMACHC",2,2,2,2,2,3,3,3,2
"MMADHC",384,371,343,333,270,300,289,264,274
"MMD",6,8,9,9,9,12,16,13,15
"MMD2",0,0,0,0,0,0,0,0,0
"MME",10,13,16,19,19,26,27,27,32
"MMEL1",0,0,0,0,0,0,0,0,0
"MMGT1",16,16,17,19,18,20,22,19,22
"MMP1",4,3,2,2,2,1,2,1,0
"MMP10",0,0,0,0,0,0,0,0,0
"MMP11",47,40,36,28,23,18,13,9,4
"MMP12",0,0,0,0,0,0,0,0,0
"MMP13",0,0,0,0,0,0,0,0,0
"MMP14",1,2,2,1,2,1,2,1,2
"MMP15",1,1,1,1,1,1,1,0,0
"MMP16",0,0,0,1,1,1,1,1,1
"MMP17",0,0,0,0,0,0,0,0,0
"MMP19",21,21,19,19,16,18,18,15,15
"MMP2",93,94,98,97,86,98,105,95,104
"MMP20",0,0,0,0,0,0,0,0,0
"MMP21",0,0,0,0,0,0,0,0,0
"MMP23A",0,0,0,0,0,0,0,0,0
"MMP23B",0,0,0,0,0,0,0,0,0
"MMP24",2,2,2,2,1,1,1,1,1
"MMP25",0,0,0,0,0,0,0,0,0
"MMP26",0,0,0,0,0,0,0,0,0
"MMP27",0,0,0,0,0,0,0,0,0
"MMP28",0,0,0,0,0,0,0,0,0
"MMP3",0,0,0,0,0,0,0,0,0
"MMP7",0,0,0,0,0,0,0,0,0
"MMP8",0,0,0,0,0,0,0,0,0
"MMP9",0,0,0,0,0,0,0,0,0
"MMRN1",0,0,0,0,0,0,0,0,0
"MMRN2",0,0,0,0,0,0,0,0,0
"MMS19",27,27,24,21,19,21,20,18,16
"MMS22L",8,11,14,16,16,22,24,25,29
"MN1",2,1,1,1,1,1,0,0,0
"MNAT1",145,145,146,132,114,128,126,112,118
"MND1",5,9,15,17,23,26,28,31,32
"MNDA",0,0,0,0,0,0,0,0,0
"MNF1",108,117,122,121,107,125,126,111,127
"MNS1",4,5,5,6,4,8,7,7,7
"MNT",1,1,1,0,0,0,0,0,0
"MNX1",0,0,0,0,0,0,0,0,0
"MOAP1",4,4,4,4,3,3,3,1,1
"MOB1A",82,86,83,92,79,91,101,81,93
"MOB1B",40,36,34,31,25,25,22,19,18
"MOB2",3,3,3,3,2,1,1,1,1
"MOB3A",26,25,21,21,16,19,18,14,15
"MOB3B",0,0,1,0,1,1,1,1,1
"MOB3C",8,7,7,5,4,3,3,2,1
"MOB4",64,62,63,63,56,61,58,54,59
"MOBP",0,0,0,0,0,0,0,0,0
"MOCOS",0,1,1,2,2,2,2,2,4
"MOCS1",4,6,6,6,6,8,9,7,9
"MOCS2",92,89,90,77,69,80,73,68,74
"MOCS3",6,8,6,6,6,6,6,6,6
"MOG",1,1,0,0,0,0,0,0,0
"MOGAT1",0,0,0,0,0,0,0,0,0
"MOGAT2",0,0,0,0,0,0,0,0,0
"MOGAT3",0,0,0,0,0,0,0,0,0
"MOGS",0,0,0,0,0,0,0,0,0
"MOK",4,5,6,7,6,7,8,8,9
"MON1A",1,2,3,3,3,4,4,5,4
"MON1B",9,9,8,8,7,9,9,8,9
"MON2",6,7,7,8,6,8,8,8,8
"MORC1",0,0,0,0,0,0,0,0,0
"MORC2",5,5,5,5,4,5,4,4,4
"MORC2-AS1",40,35,36,31,26,27,24,18,18
"MORC3",21,21,19,21,17,20,19,17,18
"MORC4",14,13,14,12,11,11,12,9,10
"MORF4L1",1753,1679,1600,1509,1284,1371,1324,1138,1165
"MORF4L2",700,677,687,686,593,686,677,619,662
"MORF4L2-AS1",0,0,0,0,0,0,0,0,0
"MORN1",6,5,4,4,3,3,2,2,1
"MORN2",71,68,68,67,60,63,67,61,70
"MORN3",0,0,0,0,0,0,0,0,0
"MORN4",8,8,7,5,4,4,3,2,1
"MORN5",0,0,0,0,0,0,0,0,0
"MOS",0,0,0,0,0,0,0,0,0
"MOSPD1",68,58,50,50,39,43,37,27,29
"MOSPD2",8,8,9,9,8,9,9,8,9
"MOSPD3",7,7,7,6,7,6,6,7,7
"MOV10",7,7,8,7,6,7,8,7,9
"MOV10L1",0,0,0,0,0,0,0,0,0
"MOXD1",6,6,7,7,6,8,8,7,10
"MOXD2P",0,0,0,0,0,0,0,0,0
"MPC1",105,98,95,87,73,66,67,53,56
"MPC1L",0,0,0,0,0,0,0,0,0
"MPC2",75,75,70,62,50,57,53,41,43
"MPDU1",18,20,21,18,18,22,22,20,23
"MPDZ",20,18,17,16,13,14,13,11,11
"MPEG1",0,0,0,0,0,0,0,0,0
"MPG",27,30,33,35,35,42,45,41,51
"MPHOSPH10",45,46,46,44,40,46,45,40,43
"MPHOSPH6",99,88,94,93,83,92,96,89,98
"MPHOSPH8",27,25,25,23,19,20,20,15,17
"MPHOSPH9",8,11,11,13,13,16,17,17,21
"MPI",17,19,17,18,15,17,16,14,14
"MPL",0,0,0,0,0,0,0,0,0
"MPLKIP",26,20,21,23,15,20,15,13,14
"MPND",0,1,2,3,3,2,3,3,4
"MPO",0,0,0,0,0,0,0,0,0
"MPP1",14,12,13,12,10,10,10,8,9
"MPP2",0,0,0,0,0,0,0,0,0
"MPP3",0,1,2,1,1,2,2,2,3
"MPP4",2,6,9,11,11,14,17,16,21
"MPP5",29,30,29,28,25,28,27,25,28
"MPP6",22,21,20,19,13,13,12,7,8
"MPP7",4,5,4,4,3,4,3,3,3
"MPPE1",6,6,7,9,10,12,13,12,15
"MPPED1",0,0,0,0,0,0,0,0,0
"MPPED2",0,0,0,0,0,0,0,0,0
"MPRIP",19,18,16,16,12,13,12,10,10
"MPST",13,11,9,10,9,8,11,9,9
"MPV17",144,133,137,134,111,132,133,113,121
"MPV17L",0,0,0,1,1,1,1,1,1
"MPV17L2",18,15,18,16,15,16,17,15,18
"MPZ",0,0,0,0,0,0,0,0,0
"MPZL1",46,44,40,40,32,34,32,27,27
"MPZL2",0,0,0,0,0,0,0,0,0
"MPZL3",0,0,0,0,0,0,0,0,0
"MR1",1,1,1,1,2,2,1,2,2
"MRAP",0,0,0,0,0,0,0,0,0
"MRAP2",0,0,0,0,0,0,0,0,0
"MRAS",171,151,130,113,85,81,62,42,34
"MRC1",0,0,0,0,0,0,0,0,0
"MRC2",6,6,5,5,4,4,4,4,4
"MRE11A",10,12,14,16,16,19,21,21,23
"MREG",1,1,1,1,1,2,2,2,2
"MRFAP1",162,163,162,172,152,184,180,171,192
"MRFAP1L1",99,98,103,97,80,93,85,82,85
"MRGBP",5,5,5,4,4,5,5,4,4
"MRGPRD",0,0,0,0,0,0,0,0,0
"MRGPRE",0,0,0,0,0,0,0,0,0
"MRGPRF",0,0,0,1,1,1,1,1,1
"MRGPRG",0,0,0,0,0,0,0,0,0
"MRGPRG-AS1",0,0,0,0,0,0,0,0,0
"MRGPRX1",0,0,0,0,0,0,0,0,0
"MRGPRX2",0,0,0,0,0,0,0,0,0
"MRGPRX3",0,0,0,0,0,0,0,0,0
"MRGPRX4",0,0,0,0,0,0,0,0,0
"MRI1",10,9,9,8,7,9,7,7,7
"MRM1",0,0,1,1,1,1,1,2,2
"MRO",0,0,0,0,0,0,0,0,0
"MROH1",1,1,2,2,3,3,3,3,3
"MROH2B",0,0,0,0,0,0,0,0,0
"MROH5",0,0,0,0,0,0,0,0,0
"MROH6",1,1,0,0,1,0,0,0,0
"MROH7",2,1,2,1,1,1,0,0,0
"MROH8",1,1,1,1,1,1,1,1,1
"MROH9",0,0,0,0,0,0,0,0,0
"MRP63",33,35,38,37,34,41,44,42,47
"MRPL1",75,65,63,64,53,56,58,45,45
"MRPL10",47,45,49,49,44,49,52,49,52
"MRPL11",26,28,29,30,26,31,38,33,34
"MRPL12",5,9,7,7,6,8,9,8,8
"MRPL13",179,190,208,239,213,260,267,260,289
"MRPL14",220,248,278,295,263,311,343,328,365
"MRPL15",109,108,109,115,103,122,123,108,126
"MRPL16",94,92,90,96,82,91,91,78,87
"MRPL17",50,54,62,77,74,83,92,95,104
"MRPL18",160,175,164,191,174,200,202,197,207
"MRPL19",12,13,12,12,11,13,13,11,13
"MRPL2",20,21,18,23,19,19,19,19,19
"MRPL20",250,254,267,272,264,298,307,318,350
"MRPL21",157,153,151,159,141,164,154,147,157
"MRPL22",45,46,43,46,40,45,44,42,46
"MRPL23",7,9,11,15,14,13,15,15,18
"MRPL23-AS1",0,0,0,0,0,0,0,0,0
"MRPL24",152,135,131,141,114,128,121,118,117
"MRPL27",264,277,304,315,304,350,365,342,388
"MRPL28",83,78,80,69,59,65,57,51,53
"MRPL3",136,133,126,125,105,117,112,99,106
"MRPL30",21,20,18,17,15,14,13,11,11
"MRPL32",312,320,300,294,256,287,278,257,254
"MRPL33",681,655,612,640,521,576,573,483,492
"MRPL34",19,19,21,27,25,24,31,28,29
"MRPL35",52,45,45,42,32,28,29,23,22
"MRPL36",200,217,231,260,238,301,308,309,338
"MRPL37",95,95,97,104,94,114,115,114,123
"MRPL38",11,15,15,18,19,22,22,20,26
"MRPL39",119,127,145,157,157,184,191,188,213
"MRPL4",3,2,3,4,4,3,4,4,5
"MRPL40",228,215,214,212,177,196,187,181,176
"MRPL41",41,41,34,33,26,34,36,25,27
"MRPL42",75,78,75,77,72,82,80,74,81
"MRPL42P5",0,0,1,1,0,1,0,1,1
"MRPL43",206,198,197,190,165,170,174,149,160
"MRPL44",64,59,52,48,39,39,39,30,29
"MRPL45",114,101,103,99,85,92,88,87,89
"MRPL45P2",3,3,4,4,4,4,5,4,5
"MRPL46",91,92,78,91,72,86,81,73,81
"MRPL47",223,214,211,221,187,207,200,175,182
"MRPL48",98,108,112,117,98,119,125,119,131
"MRPL49",32,34,38,39,35,42,42,38,44
"MRPL50",171,173,167,168,143,159,160,146,163
"MRPL51",684,770,760,820,705,883,895,812,925
"MRPL52",49,45,53,56,52,62,62,58,64
"MRPL53",102,99,91,85,67,79,73,62,70
"MRPL54",60,69,58,65,70,69,78,76,89
"MRPL55",97,103,103,112,107,111,135,120,137
"MRPL9",56,58,56,57,58,58,60,54,64
"MRPS10",124,119,120,121,111,116,119,110,116
"MRPS11",95,90,97,95,90,101,103,91,108
"MRPS12",78,74,84,79,77,90,86,85,88
"MRPS14",60,59,56,58,48,53,57,49,51
"MRPS15",122,132,138,145,142,158,178,170,181
"MRPS16",63,64,64,65,61,70,70,64,72
"MRPS17",109,123,121,126,102,126,115,119,122
"MRPS18A",139,145,141,152,121,148,152,133,150
"MRPS18B",126,139,138,143,125,151,154,139,154
"MRPS18C",82,94,90,95,91,104,104,96,108
"MRPS2",17,18,18,18,17,19,19,18,19
"MRPS21",733,751,753,706,641,703,714,634,717
"MRPS22",65,73,73,82,74,86,88,88,92
"MRPS23",101,100,97,98,87,100,96,94,96
"MRPS24",368,355,351,350,300,358,355,314,342
"MRPS25",8,10,11,12,12,15,15,15,16
"MRPS26",6,5,6,5,6,6,8,8,9
"MRPS27",86,81,79,77,64,70,71,62,67
"MRPS28",143,142,158,148,132,154,171,157,161
"MRPS30",17,16,14,14,11,13,12,11,12
"MRPS31",46,49,46,45,42,49,52,44,49
"MRPS31P5",5,6,6,5,6,5,6,5,7
"MRPS33",120,124,121,121,103,113,118,100,102
"MRPS34",26,28,24,26,20,25,26,26,27
"MRPS35",76,80,84,80,80,93,91,87,96
"MRPS36",60,63,56,61,51,56,50,44,48
"MRPS5",59,58,54,58,51,56,57,53,62
"MRPS6",211,203,192,196,163,179,186,150,162
"MRPS7",185,175,168,168,139,158,149,127,144
"MRPS9",71,75,69,79,64,76,78,73,76
"MRRF",33,36,37,40,38,45,46,42,52
"MRS2",8,8,9,9,7,8,7,9,8
"MRS2P2",7,7,6,6,5,6,5,5,6
"MRTO4",29,29,34,36,36,41,44,40,45
"MRVI1",0,0,0,0,0,0,0,0,0
"MRVI1-AS1",0,0,0,0,0,0,0,0,0
"MS4A1",0,0,0,0,0,0,0,0,0
"MS4A10",0,0,0,0,0,0,0,0,0
"MS4A12",0,0,0,0,0,0,0,0,0
"MS4A13",0,0,0,0,0,0,0,0,0
"MS4A14",0,0,0,0,0,0,0,0,0
"MS4A15",0,0,0,0,0,0,0,0,0
"MS4A2",0,0,0,0,0,0,0,0,0
"MS4A3",0,0,0,0,0,0,0,0,0
"MS4A4A",0,0,0,0,0,0,0,0,0
"MS4A5",0,0,0,0,0,0,0,0,0
"MS4A6A",0,0,0,0,0,0,0,0,0
"MS4A6E",0,0,0,0,0,0,0,0,0
"MS4A7",0,0,0,0,0,0,0,0,0
"MS4A8B",0,0,0,0,0,0,0,0,0
"MSANTD1",0,0,0,0,0,0,0,0,0
"MSANTD2",4,5,5,5,5,6,5,6,5
"MSANTD3",19,18,20,22,20,25,26,26,28
"MSANTD3-TMEFF1",14,12,11,10,8,8,7,5,5
"MSANTD4",22,19,19,15,12,12,10,8,7
"MSC",18,19,16,16,14,15,13,14,13
"MSGN1",0,0,0,0,0,0,0,0,0
"MSH2",19,21,25,26,26,30,32,33,38
"MSH3",9,8,8,8,8,7,7,7,6
"MSH4",0,0,0,0,0,0,0,0,0
"MSH5",0,1,1,2,1,2,2,1,2
"MSH5-SAPCD1",0,0,0,0,1,0,0,1,0
"MSH6",9,13,17,20,19,28,31,29,36
"MSI1",0,0,0,0,0,0,0,0,0
"MSI2",3,4,4,4,3,4,5,4,4
"MSL1",16,17,19,17,17,19,20,19,19
"MSL2",5,6,7,8,8,9,9,10,10
"MSL3",14,16,15,15,15,17,18,16,17
"MSL3P1",3,4,4,4,4,5,5,6,5
"MSLN",0,0,0,0,0,0,0,0,0
"MSMB",0,0,0,0,0,0,0,0,0
"MSMO1",416,388,347,311,248,251,218,177,168
"MSMP",0,0,0,0,0,0,0,0,0
"MSN",178,184,187,193,175,206,210,189,207
"MSR1",0,0,0,0,0,0,0,0,0
"MSRA",6,6,5,7,6,6,5,5,6
"MSRB1",98,89,82,77,62,62,58,48,46
"MSRB2",2,3,2,3,2,3,3,3,3
"MSRB3",50,49,47,47,40,42,43,37,40
"MSS51",2,2,2,2,1,1,1,1,1
"MST1",0,0,0,0,0,0,0,0,0
"MST1L",0,0,0,0,0,0,0,0,0
"MST1P2",0,0,0,0,0,0,0,0,0
"MST1R",0,0,0,0,0,0,0,0,0
"MST4",0,2,1,2,2,3,3,3,5
"MSTN",137,122,105,98,76,74,65,47,41
"MSTO1",11,11,11,11,8,8,7,7,7
"MSTO2P",0,0,0,0,0,0,0,0,0
"MSX1",9,10,7,7,4,6,4,3,4
"MSX2",0,0,1,1,1,1,1,1,1
"MSX2P1",0,0,0,0,0,0,0,0,0
"MT1A",10,14,18,30,23,35,46,49,55
"MT1B",0,0,0,0,0,0,0,0,0
"MT1DP",0,0,0,0,0,0,0,0,0
"MT1E",446,725,970,1258,1296,1708,1928,1900,2201
"MT1F",23,31,28,47,38,48,55,59,64
"MT1G",57,102,144,178,211,282,294,320,412
"MT1H",1,1,5,10,9,7,7,7,7
"MT1IP",0,0,0,0,0,0,0,0,0
"MT1JP",0,0,0,0,0,0,0,0,0
"MT1L",209,353,487,661,684,936,993,1019,1268
"MT1M",63,106,131,191,195,279,315,292,371
"MT1P2",0,0,0,0,0,0,0,0,0
"MT1X",164,218,289,332,320,456,407,493,572
"MT2A",5175,9647,13835,18303,19102,25706,29268,30041,35653
"MT3",0,0,0,0,0,0,0,0,0
"MT4",0,0,0,0,0,0,0,0,0
"MTA1",1,1,1,1,1,1,1,0,1
"MTA2",2,2,2,2,2,2,2,2,2
"MTA3",24,24,21,19,16,17,16,14,15
"MTAP",22,25,25,25,24,26,28,26,28
"MTBP",2,2,4,4,5,5,6,6,7
"MTCH1",27,27,25,28,24,25,29,26,28
"MTCH2",156,159,159,161,149,168,170,157,173
"MTCP1",0,0,0,0,0,0,0,0,0
"MTDH",42,44,44,45,39,44,45,43,44
"MTERF",11,10,10,10,9,10,11,9,10
"MTERFD1",23,26,25,27,24,31,36,31,31
"MTERFD2",13,15,17,21,16,22,25,24,28
"MTERFD3",21,20,19,18,16,17,15,13,14
"MTF1",13,11,11,10,7,7,6,4,4
"MTF2",26,29,29,30,27,32,31,29,33
"MTFMT",7,8,10,9,9,9,11,11,11
"MTFP1",4,6,10,15,11,15,19,18,21
"MTFR1",8,8,8,8,7,8,8,7,8
"MTFR1L",71,74,76,70,60,73,69,66,70
"MTFR2",1,3,4,5,6,5,9,7,9
"MTG1",24,27,32,34,32,42,47,42,48
"MTHFD1",29,40,50,57,60,71,76,80,93
"MTHFD1L",23,23,24,22,18,19,20,16,19
"MTHFD2",92,101,115,126,118,141,152,149,172
"MTHFD2L",6,6,5,5,3,3,2,2,2
"MTHFR",4,4,4,4,3,4,3,3,3
"MTHFS",4,4,3,5,4,5,6,6,7
"MTHFSD",0,0,1,1,1,1,1,1,1
"MTIF2",40,37,36,36,30,35,30,28,30
"MTIF3",105,96,89,84,67,76,72,57,57
"MTL5",0,0,0,0,0,0,0,0,0
"MTM1",4,4,4,3,2,3,2,2,2
"MTMR1",3,3,3,2,2,2,2,1,1
"MTMR10",2,1,2,2,2,2,2,3,2
"MTMR11",2,2,2,2,2,2,2,2,2
